"","X","v","a","f","h","l","n","s","w","word_tokens","word_types","tokens_in_cmu","types_in_cmu","year","month","day","consonants","vowelRatio","tokenCoverage","typeCoverage","dayOfYear","date","humidity"
"1",1,10987,187,3963,374,2047,3011,5583,1211,8760,1380,7583,1234,2000,1,3,16376,0.670920859794822,0.865639269406393,0.894202898550725,3,"2000-01-03",0.0068000001
"2",2,11719,197,4295,366,2393,2908,6157,1193,8618,1451,7738,1319,2000,1,4,17509,0.669312924781541,0.897888141100023,0.909028256374914,4,"2000-01-04",0.0073000002
"3",3,11006,179,4136,492,2006,2822,5443,1076,8341,1439,7295,1293,2000,1,5,16154,0.681317320787421,0.874595372257523,0.898540653231411,5,"2000-01-05",0.0074999998
"4",4,12173,235,4665,455,2205,3191,6306,1192,9272,1481,8085,1337,2000,1,6,18249,0.66705024932873,0.871980155306299,0.902768399729912,6,"2000-01-06",0.0063
"5",5,11562,188,4052,486,2046,2961,5846,1206,9532,1413,8023,1246,2000,1,7,16785,0.688829311885612,0.841691145614771,0.881811748053786,7,"2000-01-07",0.0076000001
"6",6,11298,249,4416,615,2084,2899,5671,1030,8531,1206,7710,1111,2000,1,10,16964,0.66599858523933,0.903762747626304,0.9212271973466,10,"2000-01-10",0.0081000002
"7",7,10067,228,3519,289,1966,2449,5262,1201,8159,1283,7136,1140,2000,1,11,14914,0.675003352554647,0.874616987375904,0.888542478565861,11,"2000-01-11",0.0082999999
"8",8,8822,183,3503,343,1713,2215,4146,812,6921,1172,6094,1055,2000,1,12,12915,0.683081687959737,0.880508597023552,0.900170648464164,12,"2000-01-12",0.0088
"9",9,11368,189,4233,466,2056,3006,5835,1203,8571,1312,7643,1195,2000,1,13,16988,0.669178243465976,0.89172791972932,0.910823170731707,13,"2000-01-13",0.0082
"10",10,8821,208,3188,368,1613,2270,4372,909,6722,1304,5892,1171,2000,1,14,12928,0.68231745049505,0.876524843796489,0.898006134969325,14,"2000-01-14",0.0083999997
"11",11,10348,162,3946,452,1920,2752,5208,961,7682,1343,6907,1235,2000,1,17,15401,0.671904421790793,0.89911481385056,0.919583023082651,17,"2000-01-17",0.0092000002
"12",12,11741,322,4296,327,2354,3054,6121,1107,8724,1516,7770,1375,2000,1,18,17581,0.667823218246971,0.890646492434663,0.906992084432718,18,"2000-01-18",0.0093999999
"13",13,10068,184,3593,363,1803,2587,4919,1221,8724,1379,7073,1180,2000,1,19,14670,0.686298568507157,0.810751948647409,0.855692530819434,19,"2000-01-19",0.0096000005
"14",14,9276,222,3337,368,1819,2321,4632,1141,8069,1201,6592,1039,2000,1,20,13840,0.670231213872832,0.816953773701822,0.86511240632806,20,"2000-01-20",0.0094999997
"15",15,9430,201,3414,391,1717,2632,4671,1095,7926,1319,6641,1180,2000,1,21,14121,0.667799730897245,0.837875346959374,0.89461713419257,21,"2000-01-21",0.0074999998
"16",16,9085,169,3208,347,1632,2511,4760,829,6700,1176,6028,1095,2000,1,24,13456,0.675163495838288,0.899701492537313,0.931122448979592,24,"2000-01-24",0.0094999997
"17",17,10230,214,3671,428,1960,2655,5027,1142,8675,1386,7232,1188,2000,1,25,15097,0.677618069815195,0.833659942363112,0.857142857142857,25,"2000-01-25",0.0097000003
"18",18,10926,208,4015,424,1986,2882,5797,994,8108,1392,7243,1278,2000,1,25,16306,0.670060100576475,0.893315244203256,0.918103448275862,25,"2000-01-25",0.0097000003
"19",19,11566,251,4296,529,2026,3164,6132,1070,8634,1436,7841,1323,2000,1,26,17468,0.662125028623769,0.908153810516562,0.921309192200557,26,"2000-01-26",0.0078999996
"20",20,11945,249,4216,339,2220,3291,5847,1442,9062,1524,7577,1317,2000,1,28,17604,0.678538968416269,0.836128889869786,0.864173228346457,28,"2000-01-28",0.0081000002
"21",21,10768,217,4193,462,2019,2775,5580,969,7802,1402,7116,1292,2000,1,28,16215,0.664076472402097,0.912073827223789,0.921540656205421,28,"2000-01-28",0.0081000002
"22",22,13140,303,5174,355,2831,3416,6515,1206,9566,1450,8644,1324,2000,1,31,19800,0.663636363636364,0.903616976792808,0.913103448275862,31,"2000-01-31",0.0082
"23",23,9159,167,3314,367,1655,2499,4712,836,6902,1201,6142,1099,2000,2,1,13550,0.675940959409594,0.88988698927847,0.915070774354704,32,"2000-02-01",0.0082999999
"24",24,10881,201,3855,305,2148,2699,5538,1225,8697,1429,7175,1251,2000,2,2,15971,0.681297351449502,0.824997125445556,0.875437368789363,33,"2000-02-02",0.0078999996
"25",25,9593,193,3591,407,1651,2586,5008,869,7256,1259,6438,1166,2000,2,2,14305,0.670604683677036,0.887265711135612,0.926131850675139,33,"2000-02-02",0.0078999996
"26",26,10531,244,4156,426,1984,2728,5016,1080,8335,1357,7250,1234,2000,2,3,15634,0.673596008698989,0.869826034793041,0.909358879882093,34,"2000-02-03",0.0088
"27",27,9693,180,3593,452,1772,2567,4736,1066,7535,1268,6636,1159,2000,2,4,14366,0.674718084365864,0.880690112806901,0.91403785488959,35,"2000-02-04",0.0093
"28",28,10324,211,3961,423,1883,2708,5136,917,7871,1365,6981,1239,2000,2,7,15239,0.677472275083667,0.88692669292339,0.907692307692308,38,"2000-02-07",0.0082
"29",29,11742,186,4212,448,2201,3277,6258,1008,8740,1451,7774,1333,2000,2,8,17590,0.66753837407618,0.889473684210526,0.918676774638181,39,"2000-02-08",0.0087000001
"30",30,10338,172,3654,425,1912,2876,5342,1032,8151,1384,7071,1247,2000,2,9,15413,0.670732498540193,0.867500920132499,0.901011560693642,40,"2000-02-09",0.0093
"31",31,8934,157,2972,340,1500,2257,4388,1141,8269,1281,6361,1059,2000,2,10,12755,0.700431203449628,0.769258676986335,0.826697892271663,41,"2000-02-10",0.0089999996
"32",32,9902,163,3364,338,1815,2623,5167,1201,8977,1292,7143,1093,2000,2,11,14671,0.674936950446459,0.795700122535368,0.845975232198142,42,"2000-02-11",0.0085000005
"33",33,12038,273,4354,506,2512,3177,5878,1244,9295,1518,8307,1375,2000,2,14,17944,0.670864913062862,0.893706293706294,0.905797101449275,45,"2000-02-14",0.0094999997
"34",34,23054,379,8760,638,4342,6248,12050,2122,17217,2310,15014,2095,2000,2,15,34539,0.6674773444512,0.872045071731428,0.906926406926407,46,"2000-02-15",0.0082
"35",35,10613,244,3855,361,2148,2926,5380,1012,7928,1495,6806,1299,2000,2,16,15926,0.666394574908954,0.858476286579213,0.868896321070234,47,"2000-02-16",0.0083999997
"36",36,9718,161,3649,316,1596,2667,4879,1128,8636,1310,7026,1130,2000,2,17,14396,0.675048624617949,0.813571097730431,0.862595419847328,48,"2000-02-17",0.0071999999
"37",37,11120,265,3976,376,2143,2846,5645,1198,8281,1470,7303,1328,2000,2,18,16449,0.676028937929357,0.881898321458761,0.903401360544218,49,"2000-02-18",0.0071
"38",38,8039,156,3041,265,1441,2310,4153,669,5892,1155,5367,1075,2000,2,22,12035,0.667968425425841,0.910896130346232,0.930735930735931,53,"2000-02-22",0.0077
"39",39,8258,142,2747,332,1361,2107,4391,1033,7309,1176,5944,996,2000,2,23,12113,0.68174688351358,0.813243945820222,0.846938775510204,54,"2000-02-23",0.0080000004
"40",40,11991,174,4420,456,2243,3309,6163,1056,8402,1453,7676,1340,2000,2,23,17821,0.672857864317378,0.913592001904308,0.922229869236063,54,"2000-02-23",0.0080000004
"41",41,11641,182,3872,436,2122,3385,5787,1226,9519,1436,8057,1255,2000,2,24,17010,0.684362139917695,0.846412438281332,0.873955431754875,55,"2000-02-24",0.0066999998
"42",42,10393,217,4241,351,2023,2604,5165,921,7333,1343,6728,1243,2000,2,25,15522,0.669565777605979,0.917496249829538,0.92553983618764,56,"2000-02-25",0.0083999997
"43",43,12049,214,4345,386,2189,3079,6018,1194,9051,1440,7944,1280,2000,2,28,17425,0.691477761836442,0.877693072588664,0.888888888888889,59,"2000-02-28",0.0074
"44",44,11557,250,4102,353,2080,3243,5624,1258,8989,1527,7812,1343,2000,2,29,16910,0.683441750443525,0.869062187117588,0.879502292075966,60,"2000-02-29",0.0077999998
"45",45,10870,183,4091,375,2036,3095,5657,953,7896,1413,7207,1318,2000,3,1,16390,0.663209273947529,0.91274062816616,0.932767162066525,61,"2000-03-01",0.0074999998
"46",46,11116,232,4267,536,1994,3088,5882,973,8167,1386,7504,1295,2000,3,2,16972,0.654961112420457,0.918819640014693,0.934343434343434,62,"2000-03-02",0.0078999996
"47",47,10517,204,3973,416,2065,2608,5263,1059,7977,1369,6937,1206,2000,3,3,15588,0.674685655632538,0.869625172370565,0.880934989043097,63,"2000-03-03",0.0078999996
"48",48,11330,231,4344,485,2291,3015,5642,1059,8393,1538,7587,1432,2000,3,6,17067,0.663854221597234,0.903967592040987,0.931079323797139,66,"2000-03-06",0.0062000002
"49",49,10349,153,3911,401,1972,2889,5369,944,7745,1331,6979,1249,2000,3,7,15639,0.661743078201931,0.901097482246611,0.938392186326071,67,"2000-03-07",0.0070000002
"50",50,11682,226,4070,429,2024,3077,5784,1332,9315,1498,8009,1287,2000,3,8,16942,0.689528981230079,0.85979602791197,0.859145527369826,68,"2000-03-08",0.0074999998
"51",51,12011,316,4480,357,2250,3117,5813,1061,8768,1417,7657,1267,2000,3,9,17394,0.690525468552374,0.873289233576642,0.894142554693013,69,"2000-03-09",0.0066999998
"52",52,9793,198,3406,444,1750,2648,4753,1236,8511,1328,6873,1128,2000,3,10,14435,0.678420505715275,0.807543179414875,0.849397590361446,70,"2000-03-10",0.0076000001
"53",53,10973,194,3773,444,2063,2984,5617,1135,8800,1528,7397,1356,2000,3,13,16210,0.676927822331894,0.840568181818182,0.887434554973822,73,"2000-03-13",0.0083999997
"54",54,10744,152,4012,365,2021,2964,5686,888,7798,1391,7047,1288,2000,3,14,16088,0.667826951765291,0.903693254680687,0.925952552120776,74,"2000-03-14",0.0083999997
"55",55,10967,213,4066,551,2035,2858,5190,1230,8862,1289,7803,1148,2000,3,15,16143,0.67936566933036,0.880501015572106,0.890612878200155,75,"2000-03-15",0.0088
"56",56,10697,269,3799,382,1958,2765,5646,1078,8446,1260,7262,1120,2000,3,16,15897,0.672894256778008,0.859815297182098,0.888888888888889,76,"2000-03-16",0.0080000004
"57",57,10603,194,3626,337,1963,2771,5500,1093,8828,1372,7293,1189,2000,3,17,15484,0.684771376905192,0.826121431807884,0.866618075801749,77,"2000-03-17",0.0077
"58",58,10204,206,3505,484,1768,2583,5240,1275,9163,1332,7593,1133,2000,3,20,15061,0.677511453422748,0.828658736221761,0.850600600600601,80,"2000-03-20",0.0066999998
"59",59,10690,168,3971,458,1773,2713,5427,1261,8325,1242,7400,1117,2000,3,21,15771,0.677826390209879,0.888888888888889,0.899355877616747,81,"2000-03-21",0.0066999998
